Variable,Value,Target,,,
CarbonDeep,3489.28,3213.02,,#,PFT
CarbonShallow,2018.03,3562.65,,3,Graminoid
CarbonMineralSum,25394.18,23913.28,,4,Forb
OrganicNitrogenSum,2040.85,2121.38,,5,Lichen
AvailableNitrogenSum,0.71,0.53,,6,Feathermoss
GPPAll3,254.46,398.18,,,
NPPAll3,147.23,199.09,,,
VEGCL3,79.32,139.03,,,
VEGCW3,0.00,0.00,,,
VEGCR3,230.18,242.58,,,
VEGCSUM3,309.50,381.61,,,
VEGNL3,3.97,5.50,,,
VEGNW3,0.00,0.00,,,
VEGNR3,11.51,5.11,,,
VEGNSUM3,15.47,10.60,,,
VEGLBLN3,5.49,2.12,,,
GPPAll4,179.84,214.30,,,
NPPAll4,86.75,107.15,,,
VEGCL4,41.79,23.79,,,
VEGCW4,0.00,0.00,,,
VEGCR4,133.74,153.23,,,
VEGCSUM4,175.54,177.02,,,
VEGNL4,1.64,1.71,,,
VEGNW4,0.00,0.00,,,
VEGNR4,5.23,3.23,,,
VEGNSUM4,6.87,4.94,,,
VEGLBLN4,1.34,0.99,,,
GPPAll5,10.38,12.00,,,
NPPAll5,5.09,6.00,,,
VEGCL5,12.27,12.83,,,
VEGCW5,0.00,0.00,,,
VEGCR5,0.00,0.00,,,
VEGCSUM5,12.27,12.83,,,
VEGNL5,0.25,0.35,,,
VEGNW5,0.00,0.00,,,
VEGNR5,0.00,0.00,,,
VEGNSUM5,0.25,0.35,,,
VEGLBLN5,0.06,0.07,,,
GPPAll6,18.34,34.16,,,
NPPAll6,9.08,17.08,,,
VEGCL6,26.40,43.93,,,
VEGCW6,0.00,0.00,,,
VEGCR6,0.00,0.00,,,
VEGCSUM6,26.40,43.93,,,
VEGNL6,0.53,1.62,,,
VEGNW6,0.00,0.00,,,
VEGNR6,0.00,0.00,,,
VEGNSUM6,0.53,1.62,,,
VEGLBLN6,0.17,0.32,,,
